id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,489,151,200,608,0.71,0.8,0.47582873,0.7641,0.7525,0.1989,0.5821,0.7576,0.7554,0.7359,0.5136,0.51,0.5166,0.1056,0.0093,0.0627,0.0002,0.7576,0.0229,0.8696,0.0037,0.7098,0.0512,0.8302,0.0066,0.7672,0.0407,0.8885,0.0047,0.8432,0.0233,0.9469,0.0013,0.7354,0.0283,0.8583,0.0043,PCA,NWPTY
PCA-FT,131,205,108,1004,0.55,0.83,0.16505525,0.3899,0.9029,0.1696,0.295,0.7838,0.6893,0.4557,0.3329,0.38,0.2928,0.1144,0.0059,0.0625,0.0001,0.7838,0.0389,0.895,0.002,0.548,0.0745,0.9744,0.0086,0.3992,0.0814,0.6147,0.0046,0.8015,0.0502,0.9677,0.0007,0.4584,0.0686,0.7538,0.0041,PCA,FT
PCA-NE,343,255,126,724,0.73,0.74,0.32389503,0.5736,0.8518,0.2605,0.4738,0.7369,0.7354,0.6429,0.4475,0.47,0.4254,0.1148,0.0039,0.0626,0.0003,0.7368,0.0368,0.8587,0.0038,0.7316,0.0869,0.9308,0.0078,0.5744,0.0483,0.7171,0.0053,0.8211,0.0471,0.9379,0.0028,0.6419,0.0549,0.8101,0.005,PCA,NE
PCA-SWF,344,145,49,910,0.88,0.86,0.27140884,0.7035,0.9489,0.1374,0.6394,0.866,0.8689,0.78,0.6938,0.74,0.6524,0.1113,0.0025,0.0625,0.0002,0.866,0.0185,0.9403,0.0019,0.8754,0.0552,0.9833,0.0039,0.7048,0.0346,0.8287,0.0043,0.9426,0.016,0.9914,0.0006,0.7798,0.0315,0.8994,0.0032,PCA,SWF
PCA-HRD,220,273,196,759,0.53,0.74,0.28729282,0.4462,0.7948,0.2645,0.3193,0.6761,0.6322,0.484,0.2524,0.27,0.241,0.1185,0.0023,0.0626,0.0001,0.6761,0.03,0.866,0.005,0.5288,0.0722,0.8867,0.01,0.4472,0.0402,0.7152,0.0078,0.6764,0.0447,0.9406,0.0021,0.4827,0.0482,0.7918,0.0078,PCA,HRD
PCA-HRH,297,225,218,708,0.58,0.76,0.35566298,0.569,0.7646,0.2412,0.4014,0.6941,0.6678,0.5728,0.3345,0.34,0.3336,0.1189,0.0034,0.0626,0.0002,0.6941,0.0377,0.8574,0.004,0.5767,0.0492,0.8503,0.0073,0.5707,0.0535,0.772,0.0063,0.7319,0.0497,0.9314,0.0024,0.573,0.0483,0.8092,0.0052,PCA,HRH
CAE-NWPTY,482,157,207,602,0.7,0.79,0.47582873,0.7543,0.7441,0.2069,0.5697,0.7486,0.7464,0.7259,0.4956,0.49,0.4984,0.3314,0.0499,0.0626,0.0002,0.7486,0.0319,0.8163,0.0042,0.6996,0.0633,0.7721,0.0065,0.7552,0.0349,0.83,0.0053,0.833,0.0294,0.9104,0.0022,0.7248,0.0421,0.8,0.0047,CAE,NWPTY
CAE-FT,157,254,82,955,0.66,0.79,0.16505525,0.382,0.9209,0.2101,0.3185,0.768,0.7234,0.4831,0.3679,0.45,0.3029,0.2457,0.0439,0.0627,0.0002,0.768,0.0354,0.8484,0.0041,0.6574,0.0793,0.9251,0.0087,0.3855,0.0556,0.5232,0.0072,0.8034,0.0417,0.9421,0.0021,0.4847,0.0601,0.6684,0.0077,CAE,FT
CAE-NE,363,283,106,696,0.77,0.71,0.32389503,0.5619,0.8678,0.2891,0.4827,0.7314,0.7425,0.6511,0.4565,0.48,0.4297,0.3123,0.0322,0.0626,0.0002,0.7313,0.0442,0.8052,0.0041,0.7741,0.0805,0.8884,0.0044,0.5622,0.0516,0.6447,0.0056,0.8288,0.0436,0.9119,0.0033,0.6507,0.0598,0.7472,0.0044,CAE,NE
CAE-SWF,349,139,44,916,0.89,0.87,0.27140884,0.7152,0.9542,0.1318,0.656,0.8736,0.8781,0.7923,0.7115,0.76,0.6694,0.2967,0.0259,0.0627,0.0003,0.8736,0.0182,0.9266,0.0033,0.8882,0.0535,0.9828,0.003,0.7194,0.0476,0.7951,0.0071,0.9468,0.0155,0.9811,0.0009,0.7926,0.025,0.879,0.005,CAE,SWF
CAE-HRD,222,333,194,699,0.53,0.68,0.28729282,0.4,0.7828,0.3227,0.2964,0.636,0.6055,0.4573,0.1964,0.21,0.1828,0.3172,0.0334,0.0629,0.0002,0.6361,0.035,0.7963,0.0052,0.5333,0.0926,0.8285,0.0109,0.3987,0.0485,0.6066,0.0075,0.6775,0.0374,0.883,0.003,0.4552,0.0625,0.7004,0.0073,CAE,HRD
CAE-HRH,332,249,183,684,0.64,0.73,0.35566298,0.5714,0.7889,0.2669,0.4346,0.7017,0.6889,0.6058,0.369,0.37,0.3603,0.3232,0.0284,0.0626,0.0001,0.7017,0.0382,0.8108,0.0044,0.6447,0.0437,0.8028,0.0073,0.5757,0.053,0.7057,0.0063,0.7548,0.0387,0.89,0.0026,0.6066,0.0386,0.7511,0.0057,CAE,HRH
CVAE-NWPTY,309,397,380,362,0.45,0.48,0.47582873,0.4377,0.4879,0.5231,0.2845,0.4634,0.4627,0.443,-0.0745,-0.07,-0.0744,0.0861,0.0017,0.0626,0.0002,0.4635,0.0373,0.9998,0.0003,0.4487,0.0602,0.9998,0.0005,0.438,0.0369,0.9998,0.0005,0.4776,0.0476,1.0,0.0,0.4419,0.0433,0.9998,0.0003,CVAE,NWPTY
CVAE-FT,31,159,208,1050,0.13,0.87,0.16505525,0.1632,0.8347,0.1315,0.0779,0.7465,0.4991,0.1445,-0.002,0.0,-0.0021,0.0899,0.002,0.0627,0.0003,0.7466,0.0286,0.9999,0.0002,0.1297,0.0863,1.0,0.0,0.1559,0.0994,0.9995,0.0014,0.4845,0.0383,1.0,0.0,0.1406,0.0917,0.9998,0.0007,CVAE,FT
CVAE-NE,130,324,339,655,0.28,0.67,0.32389503,0.2863,0.659,0.3309,0.1639,0.5421,0.4731,0.2817,-0.0542,-0.05,-0.0547,0.0871,0.0022,0.0625,0.0002,0.5421,0.0331,0.9995,0.0005,0.2772,0.051,1.0,0.0,0.2874,0.0424,0.9986,0.0016,0.4575,0.0452,1.0,0.0,0.2807,0.0416,0.9993,0.0008,CVAE,NE
CVAE-SWF,95,265,298,790,0.24,0.75,0.27140884,0.2639,0.7261,0.2512,0.1444,0.6112,0.4953,0.2523,-0.0097,-0.01,-0.01,0.087,0.0025,0.0625,0.0002,0.6112,0.034,1.0,0.0,0.2421,0.0475,1.0,0.0,0.2658,0.0464,1.0,0.0,0.4922,0.0569,1.0,0.0,0.2521,0.0439,1.0,0.0,CVAE,SWF
CVAE-HRD,109,289,307,743,0.26,0.72,0.28729282,0.2739,0.7076,0.28,0.1546,0.5884,0.491,0.2678,-0.0183,-0.02,-0.0185,0.0878,0.0017,0.0626,0.0002,0.5884,0.0193,0.9994,0.0005,0.2619,0.0318,1.0,0.0,0.2744,0.0165,0.9979,0.0016,0.5005,0.0351,1.0,0.0,0.267,0.0191,0.9989,0.0008,CVAE,HRD
CVAE-HRH,184,307,331,626,0.36,0.67,0.35566298,0.3747,0.6541,0.329,0.2238,0.5594,0.5141,0.3658,0.0286,0.03,0.0288,0.0855,0.0021,0.0626,0.0001,0.5594,0.0274,0.9999,0.0002,0.3572,0.0675,1.0,0.0,0.3732,0.0475,0.9998,0.0006,0.5332,0.0433,1.0,0.0,0.3639,0.0543,0.9999,0.0003,CVAE,HRH
Pretrained-BigEarth-NWPTY,481,171,208,588,0.7,0.77,0.47582873,0.7377,0.7387,0.2253,0.5593,0.7383,0.7364,0.7174,0.4746,0.47,0.4764,0.1793,0.018,0.0625,0.0002,0.7383,0.0425,0.761,0.0056,0.6983,0.0656,0.7234,0.0078,0.7395,0.0522,0.7622,0.0062,0.8113,0.0448,0.8411,0.0035,0.7167,0.0485,0.7423,0.0063,Pretrained-BigEarth,NWPTY
Pretrained-BigEarth-FT,133,404,106,805,0.56,0.67,0.16505525,0.2477,0.8836,0.3342,0.2068,0.6478,0.6112,0.3428,0.1709,0.23,0.1313,0.1925,0.0157,0.0625,0.0002,0.6478,0.0453,0.7024,0.0073,0.556,0.0784,0.7197,0.0106,0.2508,0.0447,0.3211,0.0065,0.6445,0.0622,0.7759,0.0052,0.3443,0.0517,0.444,0.0068,Pretrained-BigEarth,FT
Pretrained-BigEarth-NE,320,295,149,684,0.68,0.7,0.32389503,0.5203,0.8211,0.3013,0.4188,0.6934,0.6905,0.5904,0.3607,0.38,0.3414,0.1508,0.0225,0.0625,0.0003,0.6934,0.0369,0.7193,0.0033,0.6823,0.0462,0.7309,0.0059,0.522,0.0434,0.5502,0.0039,0.7588,0.0461,0.797,0.0039,0.5909,0.0416,0.6278,0.0044,Pretrained-BigEarth,NE
Pretrained-BigEarth-SWF,347,265,46,790,0.88,0.75,0.27140884,0.567,0.945,0.2512,0.5274,0.7852,0.8159,0.6905,0.5687,0.63,0.512,0.1466,0.0174,0.0625,0.0002,0.7852,0.0366,0.8033,0.005,0.8831,0.0655,0.9061,0.0056,0.5696,0.0484,0.5895,0.0066,0.8733,0.0292,0.8956,0.0023,0.6912,0.0474,0.7143,0.0062,Pretrained-BigEarth,SWF
Pretrained-BigEarth-HRD,219,399,197,633,0.53,0.61,0.28729282,0.3544,0.7627,0.3866,0.2687,0.5884,0.5699,0.4236,0.1279,0.14,0.1171,0.1538,0.0251,0.0625,0.0003,0.5884,0.0531,0.6618,0.0039,0.526,0.1031,0.6632,0.0075,0.3543,0.0654,0.4411,0.0044,0.5953,0.0756,0.7209,0.0032,0.4225,0.0772,0.5298,0.0049,Pretrained-BigEarth,HRD
Pretrained-BigEarth-HRH,357,346,158,587,0.69,0.63,0.35566298,0.5078,0.7879,0.3708,0.4146,0.6519,0.6612,0.5862,0.3088,0.32,0.2957,0.1484,0.0341,0.0626,0.0002,0.6519,0.0405,0.6832,0.0044,0.6932,0.0653,0.7385,0.0063,0.5096,0.0432,0.5399,0.0047,0.6999,0.0485,0.7542,0.0035,0.5861,0.0439,0.6238,0.0045,Pretrained-BigEarth,HRH
Pretrained-ImageNet-NWPTY,532,96,157,663,0.77,0.87,0.47582873,0.8471,0.8085,0.1265,0.6777,0.8253,0.8228,0.8079,0.6506,0.64,0.6556,0.3495,0.0344,0.0626,0.0002,0.8253,0.0178,0.8543,0.0032,0.7722,0.0433,0.7945,0.0049,0.8505,0.0409,0.8874,0.0044,0.892,0.0232,0.9279,0.002,0.8077,0.0196,0.8384,0.0037,Pretrained-ImageNet,NWPTY
Pretrained-ImageNet-FT,151,340,88,869,0.63,0.72,0.16505525,0.3075,0.908,0.2812,0.2608,0.7044,0.6753,0.4137,0.2749,0.35,0.2155,0.2779,0.0764,0.0628,0.0002,0.7044,0.0443,0.7749,0.0047,0.6317,0.0696,0.8545,0.0075,0.314,0.0529,0.4123,0.0062,0.7352,0.0272,0.8844,0.003,0.416,0.0456,0.5562,0.0068,Pretrained-ImageNet,FT
Pretrained-ImageNet-NE,347,275,122,704,0.74,0.72,0.32389503,0.5579,0.8523,0.2809,0.4664,0.7258,0.7295,0.6361,0.4339,0.46,0.4102,0.3034,0.0436,0.0627,0.0002,0.7258,0.0318,0.7826,0.0046,0.74,0.0524,0.8278,0.0055,0.5622,0.0457,0.624,0.0061,0.8046,0.0381,0.877,0.0034,0.6366,0.0293,0.7115,0.0052,Pretrained-ImageNet,NE
Pretrained-ImageNet-SWF,355,204,38,851,0.9,0.81,0.27140884,0.6351,0.9573,0.1934,0.5946,0.8329,0.855,0.7458,0.6485,0.71,0.5924,0.327,0.0256,0.0626,0.0001,0.8329,0.023,0.8635,0.0037,0.9035,0.0636,0.9613,0.0028,0.6376,0.0385,0.6744,0.0062,0.9092,0.0203,0.944,0.0013,0.7458,0.0322,0.7927,0.0047,Pretrained-ImageNet,SWF
Pretrained-ImageNet-HRD,210,379,206,653,0.5,0.63,0.28729282,0.3565,0.7602,0.3672,0.2642,0.596,0.5688,0.4179,0.1267,0.13,0.1167,0.3231,0.0702,0.0627,0.0004,0.596,0.048,0.7247,0.0048,0.5048,0.0689,0.7668,0.0074,0.3583,0.0561,0.514,0.0058,0.6108,0.0614,0.8088,0.0018,0.4185,0.0602,0.6154,0.0051,Pretrained-ImageNet,HRD
Pretrained-ImageNet-HRH,347,339,168,594,0.67,0.64,0.35566298,0.5058,0.7795,0.3633,0.4063,0.6499,0.6552,0.5779,0.2976,0.31,0.2853,0.2861,0.0774,0.0629,0.0002,0.6498,0.0619,0.731,0.0036,0.6738,0.0865,0.7635,0.0087,0.5077,0.0684,0.5949,0.0043,0.6919,0.055,0.82,0.0039,0.5781,0.0723,0.6687,0.0043,Pretrained-ImageNet,HRH
